question_number,answer,difficulty,score,accuracy_rate,option1,option2,option3,option4,option5,subject,exam_date,exam_type,ocr_text_raw,ocr_text_clean,ocr_text_tokens,ocr_has_latex,question_type,math_category
22,96,최상,4,0.09,0.0,0.0,0.0,0.0,0.0,미적분,2024-07-11,학력평가,"22. 두 자연수 \( a, b(a<b<8) \) 에 대하여 함수 \( f(x) \) 는
\[
f(x)=\left\{\begin{array}{ll}
|x+3|-1 & (x<a) \\
x-10 & (a \leq x<b) \\
|x-9|-1 & (x \geq b)
\end{array}\right.
\]

이다. 함수 \( f(x) \) 와 양수 \( k \) 는 다음 조건을 만족시킨다.
(가) 함수 \( f(x) f(x+k) \) 는 실수 전체의 집합에서 연속이다.
(나) \( f(k)<0 \)
\( f(a) \times f(b) \times f(k) \) 의 값을 구하시오. [4점]","22. 두 자연수 \( a, b(a<b<8) \) 에 대하여 함수 \( f(x) \) 는
\[
f(x)=\left\{\begin{array}{ll}
|x+3|-1 & (x<a) \\
x-10 & (a \leq x<b) \\
|x-9|-1 & (x \geq b)
\end{array}\right.
\]

이다. 함수 \( f(x) \) 와 양수 \( k \) 는 다음 조건을 만족시킨다.
(가) 함수 \( f(x) f(x+k) \) 는 실수 전체의 집합에서 연속이다.
(나) \( f(k)<0 \)
\( f(a) \times f(b) \times f(k) \) 의 값을 구하시오. [4점]","['22', '.', '두', '자연수', 'a', 'b', '(', 'a', 'b', '8', ')', '에', '대하', '여', '함수', 'f', '(', 'x', ')', '는', '\\[', 'f', '(', 'x', ')', '=\\', 'left', '\\{\\', 'begin', '{', 'array', '}{', 'll', '}', '|', 'x', '+', '3', '|-', '1', '&', '(', 'x', '<', 'a', ')', '\\\\', 'x', '-', '10', '&', '(', 'a', '\\', 'leq', 'x', '<', 'b', ')', '\\\\', '|', 'x', '-', '9', '|-', '1', '&', '(', 'x', '\\', 'geq', 'b', ')', '\\', 'end', '{', 'array', '}\\', 'right', '.', '\\]', '이', '다', '.', '함수', 'f', '(', 'x', ')', '와', '양수', 'k', '는', '다음', '조건', '을', '만족', '시킨다', '.', '(', '가', ')', '함수', 'f', '(', 'x', ')', 'f', '(', 'x', '+', 'k', ')', '는', '실수', '전체', '의', '집합', '에서', '연속', '이', '다', '.', '(', '나', ')', 'f', '(', 'k', ')', '0', 'f', '(', 'a', ')', '\\times', 'f', '(', 'b', ')', '\\times', 'f', '(', 'k', ')', '의', '값', '을', '구하', '시', '오', '.', '[', '4', '점', ']']",True,주관식,함수의 극한과 연속
23,3,하,2,0.94,0.02,0.01,0.94,0.02,0.01,미적분,2024-07-11,학력평가,"23. \( \lim _{x \rightarrow 0} \frac{5^{2 x}-1}{e^{3 x}-1} \) 의 값은? [2점]
(1) \( \frac{\ln 5}{3} \)
(2) \( \frac{1}{\ln 5} \)
(3) \( \frac{2}{3} \ln 5 \)
(4) \( \frac{2}{\ln 5} \)
(5) \( \ln 5 \)",23. \( \lim _{x \rightarrow 0} \frac{5^{2 x}-1}{e^{3 x}-1} \) 의 값은? [2점],"['23', '.', '\\lim', '{', 'x', '\\rightarrow', '0', '}', '\\frac', '{', '5', '^', '{', '2', 'x', '}', '-', '1', '}', '{', 'e', '^', '{', '3', 'x', '}', '-', '1', '}', '의', '값', '은', '?', '[', '2', '점', ']']",True,객관식,함수의 극한과 연속
24,1,중하,3,0.88,0.88,0.05,0.02,0.05,0.01,미적분,2024-07-11,학력평가,"24. 매개변수 \( t(t>0) \) 으로 나타내어진 함수
\[
x=3 t-\frac{1}{t}, \quad y=t e^{t-1}
\]

에서 \( t=1 \) 일 때, \( \frac{d y}{d x} \) 의 값은? [3점]
(1) \( \frac{1}{2} \)
(2) \( \frac{2}{3} \)
(3) \( \frac{5}{6} \)
(4) 1
(5) \( \frac{7}{6} \)","24. 매개변수 \( t(t>0) \) 으로 나타내어진 함수
\[
x=3 t-\frac{1}{t}, \quad y=t e^{t-1}
\]

에서 \( t=1 \) 일 때, \( \frac{d y}{d x} \) 의 값은? [3점]","['24', '.', '매개변수', 't', '(', 't', '0', ')', '으로', '나타내', '어', '진', '함수', '\\[', 'x', '=', '3', 't', '-\\', 'frac', '{', '1', '}{', 't', '},', '\\', 'quad', 'y', '=', 't', 'e', '^{', 't', '-', '1', '}', '\\]', '에서', 't', '=', '1', '일', '때', ',', '\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,미분법
25,2,중하,3,0.89,0.02,0.89,0.03,0.04,0.02,미적분,2024-07-11,학력평가,"25. 모든 항이 양수인 수열 \( \left\{a_{n}\right\} \) 에 대하여
\[
\lim _{n \rightarrow \infty}\left\{a_{n} \times\left(\sqrt{n^{2}+4}-n\right)\right\}=6
\]

일 때, \( \lim _{n \rightarrow \infty} \frac{2 a_{n}+6 n^{2}}{n a_{n}+5} \) 의 값은? [3점]
(1) \( \frac{3}{2} \)
(2) 2
(3) \( \frac{5}{2} \)
(4) 3
(5) \( \frac{7}{2} \)","25. 모든 항이 양수인 수열 \( \left\{a_{n}\right\} \) 에 대하여
\[
\lim _{n \rightarrow \infty}\left\{a_{n} \times\left(\sqrt{n^{2}+4}-n\right)\right\}=6
\]

일 때, \( \lim _{n \rightarrow \infty} \frac{2 a_{n}+6 n^{2}}{n a_{n}+5} \) 의 값은? [3점]","['25', '.', '모든', '항이', '양수인', '수열', '\\left', '{', 'a', '{', 'n', '}', '\\right', '}', '에', '대하', '여', '\\[', '\\', 'lim', '_{', 'n', '\\', 'rightarrow', '\\', 'infty', '}\\', 'left', '\\{', 'a', '_{', 'n', '}', '\\', 'times', '\\', 'left', '(', '\\', 'sqrt', '{', 'n', '^{', '2', '}+', '4', '}-', 'n', '\\', 'right', ')', '\\', 'right', '\\}=', '6', '\\]', '일', '때', ',', '\\lim', '{', 'n', '\\rightarrow', '\\infty', '}', '\\frac', '{', '2', 'a', '{', 'n', '}', '+', '6', 'n', '^', '{', '2', '}', '}', '{', 'n', 'a', '{', 'n', '}', '+', '5', '}', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,수열의 극한
26,4,중,3,0.66,0.04,0.06,0.08,0.66,0.16,미적분,2024-07-11,학력평가,"26. 그림과 같이 \( \overline{\mathrm{AB}}=\overline{\mathrm{BC}}=1 \) 이고 \( \angle \mathrm{ABC}=\frac{\pi}{2} \) 인

삼각형 ABC 가 있다. 선분 AB 위의 점 D 와 선분 BC 위의 점 E 가
\[
\overline{\mathrm{AD}}=2 \overline{\mathrm{BE}} \quad(0<\overline{\mathrm{AD}}<1)
\]

을 만족시킬 때, 두 선분 \( \mathrm{AE}, \mathrm{CD} \) 가 만나는 점을 F 라 하자. \( \tan (\angle \mathrm{CFE})=\frac{16}{15} \) 일 때, \( \tan (\angle \mathrm{CDB}) \) 의 값은?
(단, \( \frac{\pi}{4}<\angle \mathrm{CDB}<\frac{\pi}{2} \) ) [3점]
(1) \( \frac{9}{7} \)
(2) \( \frac{4}{3} \)
(3) \( \frac{7}{5} \)
(4) \( \frac{3}{2} \)
(5) \( \frac{5}{3} \)","26. 그림과 같이 \( \overline{\mathrm{AB}}=\overline{\mathrm{BC}}=1 \) 이고 \( \angle \mathrm{ABC}=\frac{\pi}{2} \) 인

삼각형 ABC 가 있다. 선분 AB 위의 점 D 와 선분 BC 위의 점 E 가
\[
\overline{\mathrm{AD}}=2 \overline{\mathrm{BE}} \quad(0<\overline{\mathrm{AD}}<1)
\]

을 만족시킬 때, 두 선분 \( \mathrm{AE}, \mathrm{CD} \) 가 만나는 점을 F 라 하자. \( \tan (\angle \mathrm{CFE})=\frac{16}{15} \) 일 때, \( \tan (\angle \mathrm{CDB}) \) 의 값은?
(단, \( \frac{\pi}{4}<\angle \mathrm{CDB}<\frac{\pi}{2} \) ) [3점]","['26', '.', '그림', '과', '같이', '\\overline', '{', '\\mathrm', '{', 'AB', '}', '}', '=', '\\overline', '{', '\\mathrm', '{', 'BC', '}', '}', '=', '1', '이', '고', '\\angle', '\\mathrm', '{', 'ABC', '}', '=', '\\frac', '{', '\\pi', '}', '{', '2', '}', '인', '삼각형', 'ABC', '가', '있', '다', '.', '선분', 'AB', '위', '의', '점', 'D', '와', '선분', 'BC', '위', '의', '점', 'E', '가', '\\[', '\\', 'overline', '{\\', 'mathrm', '{', 'AD', '}}=', '2', '\\', 'overline', '{\\', 'mathrm', '{', 'BE', '}}', '\\', 'quad', '(', '0', '<\\', 'overline', '{\\', 'mathrm', '{', 'AD', '}}<', '1', ')', '\\]', '을', '만족', '시킬', '때', ',', '두', '선분', '\\mathrm', '{', 'AE', '}', '\\mathrm', '{', 'CD', '}', '가', '만나', '는', '점', '을', 'F', '라', '하', '자', '.', '\\tan', '(', '\\angle', '\\mathrm', '{', 'CFE', '}', ')', '=', '\\frac', '{', '16', '}', '{', '15', '}', '일', '때', ',', '\\tan', '(', '\\angle', '\\mathrm', '{', 'CDB', '}', ')', '의', '값', '은', '?', '(', '단', ',', '\\frac', '{', '\\pi', '}', '{', '4', '}', '\\angle', '\\mathrm', '{', 'CDB', '}', '\\frac', '{', '\\pi', '}', '{', '2', '}', ')', '[', '3', '점', ']']",True,객관식,삼각함수
27,3,중,3,0.72,0.04,0.04,0.72,0.12,0.08,미적분,2024-07-11,학력평가,"27. 양수 \( t \) 에 대하여 곡선 \( y=2 \ln (x+1) \) 위의 점 \( \mathrm{P}(t, 2 \ln (t+1)) \) 에서 \( x \) 축, \( y \) 축에 내린 수선의 발을 각각 \( \mathrm{Q}, \mathrm{R} \) 이라 할 때, 직사각형 OQPR 의 넓이를 \( f(t) \) 라 하자. \( \int_{1}^{3} f(t) d t \) 의 값은? (단, O 는 원점이다.) [3점]
(1) \( -2+12 \ln 2 \)
(2) \( -1+12 \ln 2 \)
(3) \( -2+16 \ln 2 \)
(4) \( -1+16 \ln 2 \)
(5) \( -2+20 \ln 2 \)","27. 양수 \( t \) 에 대하여 곡선 \( y=2 \ln (x+1) \) 위의 점 \( \mathrm{P}(t, 2 \ln (t+1)) \) 에서 \( x \) 축, \( y \) 축에 내린 수선의 발을 각각 \( \mathrm{Q}, \mathrm{R} \) 이라 할 때, 직사각형 OQPR 의 넓이를 \( f(t) \) 라 하자. \( \int_{1}^{3} f(t) d t \) 의 값은? (단, O 는 원점이다.) [3점]","['27', '.', '양수', 't', '에', '대하', '여', '곡선', 'y', '=', '2', '\\ln', '(', 'x', '+', '1', ')', '위', '의', '점', '\\mathrm', '{', 'P', '}', '(', 't', '2', '\\ln', '(', 't', '+', '1', ')', ')', '에서', 'x', '축', ',', 'y', '축', '에', '내린', '수선', '의', '발', '을', '각각', '\\mathrm', '{', 'Q', '}', '\\mathrm', '{', 'R', '}', '이', '라', '할', '때', ',', '직사각', '형', 'OQPR', '의', '넓이', '를', 'f', '(', 't', ')', '라', '하', '자', '.', '\\int', '{', '1', '}', '^', '{', '3', '}', 'f', '(', 't', ')', 'd', 't', '의', '값', '은', '?', '(', '단', ',', 'O', '는', '원점', '이', '다', '.', ')', '[', '3', '점', ']']",True,객관식,적분법
28,2,최상,4,0.22,0.08,0.22,0.11,0.24,0.35,미적분,2024-07-11,학력평가,"28. 최고차항의 계수가 1 이고 역함수가 존재하는 삼차함수 \( f(x) \) 에 대하여 함수 \( f(x) \) 의 역함수를 \( g(x) \) 라 하자.
실수 \( k(k>0) \) 에 대하여 함수 \( h(x) \) 는
\[
h(x)=\left\{\begin{array}{ll}
\frac{g(x)-k}{x-k} & (x \neq k) \\
\frac{1}{3} & (x=k)
\end{array}\right.
\]

이다. 함수 \( h(x) \) 가 다음 조건을 만족시키도록 하는 모든 함수 \( f(x) \) 에 대하여 \( f^{\prime}(0) \) 의 값이 최대일 때, \( k \) 의 값을 \( \alpha \) 라 하자.
(가) \( h(0)=1 \)
(나) 함수 \( h(x) \) 는 실수 전체의 집합에서 연속이다.
\( k=\alpha \) 일 때, \( \alpha \times h(9) \times g^{\prime}(9) \) 의 값은? [4점]
(1) \( \frac{1}{84} \)
(2) \( \frac{1}{42} \)
(3) \( \frac{1}{28} \)
(4) \( \frac{1}{21} \)
(5) \( \frac{5}{84} \)","28. 최고차항의 계수가 1 이고 역함수가 존재하는 삼차함수 \( f(x) \) 에 대하여 함수 \( f(x) \) 의 역함수를 \( g(x) \) 라 하자.
실수 \( k(k>0) \) 에 대하여 함수 \( h(x) \) 는
\[
h(x)=\left\{\begin{array}{ll}
\frac{g(x)-k}{x-k} & (x \neq k) \\
\frac{1}{3} & (x=k)
\end{array}\right.
\]

이다. 함수 \( h(x) \) 가 다음 조건을 만족시키도록 하는 모든 함수 \( f(x) \) 에 대하여 \( f^{\prime}(0) \) 의 값이 최대일 때, \( k \) 의 값을 \( \alpha \) 라 하자.
(가) \( h(0)=1 \)
(나) 함수 \( h(x) \) 는 실수 전체의 집합에서 연속이다.
\( k=\alpha \) 일 때, \( \alpha \times h(9) \times g^{\prime}(9) \) 의 값은? [4점]","['28', '.', '최고차항', '의', '계수', '가', '1', '이', '고', '역함수', '가', '존재', '하', '는', '삼차', '함수', 'f', '(', 'x', ')', '에', '대하', '여', '함수', 'f', '(', 'x', ')', '의', '역함수', '를', 'g', '(', 'x', ')', '라', '하', '자', '.', '실수', 'k', '(', 'k', '0', ')', '에', '대하', '여', '함수', 'h', '(', 'x', ')', '는', '\\[', 'h', '(', 'x', ')', '=\\', 'left', '\\{\\', 'begin', '{', 'array', '}{', 'll', '}', '\\', 'frac', '{', 'g', '(', 'x', ')', '-', 'k', '}{', 'x', '-', 'k', '}', '&', '(', 'x', '\\', 'neq', 'k', ')', '\\\\', '\\', 'frac', '{', '1', '}{', '3', '}', '&', '(', 'x', '=', 'k', ')', '\\', 'end', '{', 'array', '}\\', 'right', '.', '\\]', '이', '다', '.', '함수', 'h', '(', 'x', ')', '가', '다음', '조건', '을', '만족', '시키', '도록', '하', '는', '모든', '함수', 'f', '(', 'x', ')', '에', '대하', '여', 'f', '^', '{', '\\prime', '}', '(', '0', ')', '의', '값', '이', '최대일', '때', ',', 'k', '의', '값', '을', '\\alpha', '라', '하', '자', '.', '(', '가', ')', 'h', '(', '0', ')', '=', '1', '(', '나', ')', '함수', 'h', '(', 'x', ')', '는', '실수', '전체', '의', '집합', '에서', '연속', '이', '다', '.', 'k', '=', '\\alpha', '일', '때', ',', '\\alpha', '\\times', 'h', '(', '9', ')', '\\times', 'g', '^', '{', '\\prime', '}', '(', '9', ')', '의', '값', '은', '?', '[', '4', '점', ']']",True,객관식,미분법
29,12,최상,4,0.21,0.0,0.0,0.0,0.0,0.0,미적분,2024-07-11,학력평가,"29. 첫째항이 1 이고 공비가 0 이 아닌 등비수열 \( \left\{a_{n}\right\} \) 에 대하여 급수 \( \sum_{n=1}^{\infty} a_{n} \) 이 수렴하고
\[
\sum_{n=1}^{\infty}\left(20 a_{2 n}+21\left|a_{3 n-1}\right|\right)=0
\]

이다. 첫째항이 0 이 아닌 등비수열 \( \left\{b_{n}\right\} \) 에 대하여 급수 \( \sum_{n=1}^{\infty} \frac{3\left|a_{n}\right|+b_{n}}{a_{n}} \) 이 수렴할 때, \( b_{1} \times \sum_{n=1}^{\infty} b_{n} \) 의 값을 구하시오. [4점]","29. 첫째항이 1 이고 공비가 0 이 아닌 등비수열 \( \left\{a_{n}\right\} \) 에 대하여 급수 \( \sum_{n=1}^{\infty} a_{n} \) 이 수렴하고
\[
\sum_{n=1}^{\infty}\left(20 a_{2 n}+21\left|a_{3 n-1}\right|\right)=0
\]

이다. 첫째항이 0 이 아닌 등비수열 \( \left\{b_{n}\right\} \) 에 대하여 급수 \( \sum_{n=1}^{\infty} \frac{3\left|a_{n}\right|+b_{n}}{a_{n}} \) 이 수렴할 때, \( b_{1} \times \sum_{n=1}^{\infty} b_{n} \) 의 값을 구하시오. [4점]","['29', '.', '첫째', '항', '이', '1', '이', '고', '공비', '가', '0', '이', '아닌', '등비수열', '\\left', '{', 'a', '{', 'n', '}', '\\right', '}', '에', '대하', '여', '급수', '\\sum', '{', 'n', '=', '1', '}', '^', '{', '\\infty', '}', 'a', '{', 'n', '}', '이', '수렴', '하', '고', '\\[', '\\', 'sum', '_{', 'n', '=', '1', '}^{\\', 'infty', '}\\', 'left', '(', '20', 'a', '_{', '2', 'n', '}+', '21', '\\', 'left', '|', 'a', '_{', '3', 'n', '-', '1', '}\\', 'right', '|\\', 'right', ')', '=', '0', '\\]', '이', '다', '.', '첫째', '항', '이', '0', '이', '아닌', '등비수열', '\\left', '{', 'b', '{', 'n', '}', '\\right', '}', '에', '대하', '여', '급수', '\\sum', '{', 'n', '=', '1', '}', '^', '{', '\\infty', '}', '\\frac', '{', '3', '\\left', 'a', '{', 'n', '}', '\\right', '+', 'b', '{', 'n', '}', '}', '{', 'a', '{', 'n', '}', '}', '이', '수렴', '할', '때', ',', 'b', '{', '1', '}', '\\times', '\\sum', '{', 'n', '=', '1', '}', '^', '{', '\\infty', '}', 'b', '{', 'n', '}', '의', '값', '을', '구하', '시', '오', '.', '[', '4', '점', ']']",True,주관식,수열
30,144,최상,4,0.04,0.0,0.0,0.0,0.0,0.0,미적분,2024-07-11,학력평가,"30. 상수 \( a(0<a<1) \) 에 대하여 함수 \( f(x) \) 를
\[
f(x)=\int_{0}^{x} \ln \left(e^{|t|}-a\right) d t
\]

라 하자. 함수 \( f(x) \) 와 상수 \( k \) 는 다음 조건을 만족시킨다.
(가) 함수 \( f(x) \) 는 \( x=\ln \frac{3}{2} \) 에서 극값을 갖는다.
(나) \( f\left(-\ln \frac{3}{2}\right)=\frac{f(k)}{6} \)
\( \int_{0}^{k} \frac{\left|f^{\prime}(x)\right|}{f(x)-f(-k)} d x=p \) 일 때, \( 100 \times a \times e^{p} \) 의 값을 구하시오.
[4점]","30. 상수 \( a(0<a<1) \) 에 대하여 함수 \( f(x) \) 를
\[
f(x)=\int_{0}^{x} \ln \left(e^{|t|}-a\right) d t
\]

라 하자. 함수 \( f(x) \) 와 상수 \( k \) 는 다음 조건을 만족시킨다.
(가) 함수 \( f(x) \) 는 \( x=\ln \frac{3}{2} \) 에서 극값을 갖는다.
(나) \( f\left(-\ln \frac{3}{2}\right)=\frac{f(k)}{6} \)
\( \int_{0}^{k} \frac{\left|f^{\prime}(x)\right|}{f(x)-f(-k)} d x=p \) 일 때, \( 100 \times a \times e^{p} \) 의 값을 구하시오.
[4점]","['30', '.', '상수', 'a', '(', '0', 'a', '1', ')', '에', '대하', '여', '함수', 'f', '(', 'x', ')', '를', '\\[', 'f', '(', 'x', ')', '=\\', 'int', '_{', '0', '}^{', 'x', '}', '\\', 'ln', '\\', 'left', '(', 'e', '^{|', 't', '|}-', 'a', '\\', 'right', ')', 'd', 't', '\\]', '라', '하', '자', '.', '함수', 'f', '(', 'x', ')', '와', '상수', 'k', '는', '다음', '조건', '을', '만족', '시킨다', '.', '(', '가', ')', '함수', 'f', '(', 'x', ')', '는', 'x', '=', '\\ln', '\\frac', '{', '3', '}', '{', '2', '}', '에서', '극값', '을', '갖', '는다', '.', '(', '나', ')', 'f', '\\left', '(', '-', '\\ln', '\\frac', '{', '3', '}', '{', '2', '}', '\\right', ')', '=', '\\frac', '{', 'f', '(', 'k', ')', '}', '{', '6', '}', '\\int', '{', '0', '}', '^', '{', 'k', '}', '\\frac', '{', '\\left', 'f', '^', '{', '\\prime', '}', '(', 'x', ')', '\\right', '}', '{', 'f', '(', 'x', ')', '-', 'f', '(', '-', 'k', ')', '}', 'd', 'x', '=', 'p', '일', '때', ',', '100', '\\times', 'a', '\\times', 'e', '^', '{', 'p', '}', '의', '값', '을', '구하', '시', '오', '.', '[', '4', '점', ']']",True,주관식,적분법
1,4,하,2,0.93,0.02,0.01,0.03,0.93,0.01,기하,2024-07-11,학력평가,"1. \( \sqrt[3]{16} \times 2^{-\frac{1}{3}} \) 의 값은? [2점]
(1) \( \frac{1}{4} \)
(2) \( \frac{1}{2} \)
(3) 1
(4) 2
(5) 4",1. \( \sqrt[3]{16} \times 2^{-\frac{1}{3}} \) 의 값은? [2점],"['1', '.', '\\sqrt', '3', '{', '16', '}', '\\times', '2', '^', '{', '-', '\\frac', '{', '1', '}', '{', '3', '}', '}', '의', '값', '은', '?', '[', '2', '점', ']']",True,객관식,지수함수와 로그함수
2,4,하,2,0.94,0.01,0.02,0.02,0.94,0.02,기하,2024-07-11,학력평가,"2. 함수 \( f(x)=2 x^{2}+5 x-2 \) 에 대하여 \( \lim _{x \rightarrow 1} \frac{f(x)-f(1)}{x-1} \) 의 값은?
[2점]
(1) 6
(2) 7
(3) 8
(4) 9
(5) 10","2. 함수 \( f(x)=2 x^{2}+5 x-2 \) 에 대하여 \( \lim _{x \rightarrow 1} \frac{f(x)-f(1)}{x-1} \) 의 값은?
[2점]","['2', '.', '함수', 'f', '(', 'x', ')', '=', '2', 'x', '^', '{', '2', '}', '+', '5', 'x', '-', '2', '에', '대하', '여', '\\lim', '{', 'x', '\\rightarrow', '1', '}', '\\frac', '{', 'f', '(', 'x', ')', '-', 'f', '(', '1', ')', '}', '{', 'x', '-', '1', '}', '의', '값', '은', '?', '[', '2', '점', ']']",True,객관식,미분법
3,1,중하,3,0.8,0.8,0.02,0.07,0.03,0.08,기하,2024-07-11,학력평가,"3. \( \frac{\pi}{2}<\theta<\pi \) 인 \( \theta \) 에 대하여 \( \tan \theta=-2 \) 일 때, \( \sin (\pi+\theta) \) 의 값은? [3점]
(1) \( -\frac{2 \sqrt{5}}{5} \)
(2) \( -\frac{\sqrt{10}}{5} \)
(3) \( -\frac{\sqrt{5}}{5} \)
(4) \( \frac{\sqrt{5}}{5} \)
(5) \( \frac{2 \sqrt{5}}{5} \)","3. \( \frac{\pi}{2}<\theta<\pi \) 인 \( \theta \) 에 대하여 \( \tan \theta=-2 \) 일 때, \( \sin (\pi+\theta) \) 의 값은? [3점]","['3', '.', '\\frac', '{', '\\pi', '}', '{', '2', '}', '\\theta', '\\pi', '인', '\\theta', '에', '대하', '여', '\\tan', '\\theta', '=', '-', '2', '일', '때', ',', '\\sin', '(', '\\pi', '+', '\\theta', ')', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,삼각함수
4,5,하,3,0.92,0.02,0.02,0.03,0.02,0.92,기하,2024-07-11,학력평가,"4. 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow 0^{-}} f(x)+\lim _{x \rightarrow 1+} f(x) \) 의 값은? [3점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5","4. 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow 0^{-}} f(x)+\lim _{x \rightarrow 1+} f(x) \) 의 값은? [3점]","['4', '.', '함수', 'y', '=', 'f', '(', 'x', ')', '의', '그래프', '가', '그림', '과', '같', '다', '.', '\\lim', '{', 'x', '\\rightarrow', '0', '^', '{', '-', '}', '}', 'f', '(', 'x', ')', '+', '\\lim', '{', 'x', '\\rightarrow', '1', '+', '}', 'f', '(', 'x', ')', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,함수의 극한과 연속
5,3,중하,3,0.89,0.02,0.03,0.89,0.03,0.02,기하,2024-07-11,학력평가,"5. 삼차함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
f(x)-f(1)=x^{3}+4 x^{2}-5 x
\]

를 만족시킬 때, \( \int_{1}^{2} f^{\prime}(x) d x \) 의 값은? [3점]
(1) 10
(2) 12
(3) 14
(4) 16
(5) 18","5. 삼차함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
f(x)-f(1)=x^{3}+4 x^{2}-5 x
\]

를 만족시킬 때, \( \int_{1}^{2} f^{\prime}(x) d x \) 의 값은? [3점]","['5', '.', '삼', '차', '함수', 'f', '(', 'x', ')', '가', '모든', '실수', 'x', '에', '대하', '여', '\\[', 'f', '(', 'x', ')', '-', 'f', '(', '1', ')', '=', 'x', '^{', '3', '}+', '4', 'x', '^{', '2', '}-', '5', 'x', '\\]', '를', '만족', '시킬', '때', ',', '\\int', '{', '1', '}', '^', '{', '2', '}', 'f', '^', '{', '\\prime', '}', '(', 'x', ')', 'd', 'x', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,적분법
6,5,중하,3,0.89,0.02,0.02,0.03,0.03,0.89,기하,2024-07-11,학력평가,"6. 모든 항이 양수인 등비수열 \( \left\{a_{n}\right\} \) 에 대하여
\[
\frac{a_{3}+a_{4}}{a_{1}+a_{2}}=4, \quad a_{2} a_{4}=1
\]

일 때, \( a_{6}+a_{7} \) 의 값은? [3점]
(1) 16
(2) 18
(3) 20
(4) 22
(5) 24","6. 모든 항이 양수인 등비수열 \( \left\{a_{n}\right\} \) 에 대하여
\[
\frac{a_{3}+a_{4}}{a_{1}+a_{2}}=4, \quad a_{2} a_{4}=1
\]

일 때, \( a_{6}+a_{7} \) 의 값은? [3점]","['6', '.', '모든', '항이', '양수인', '등비수열', '\\left', '{', 'a', '{', 'n', '}', '\\right', '}', '에', '대하', '여', '\\[', '\\', 'frac', '{', 'a', '_{', '3', '}+', 'a', '_{', '4', '}}{', 'a', '_{', '1', '}+', 'a', '_{', '2', '}}=', '4', ',', '\\', 'quad', 'a', '_{', '2', '}', 'a', '_{', '4', '}=', '1', '\\]', '일', '때', ',', 'a', '{', '6', '}', '+', 'a', '{', '7', '}', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,수열
7,2,하,3,0.92,0.02,0.92,0.03,0.03,0.01,기하,2024-07-11,학력평가,"7. 함수 \( f(x)=x^{3}-3 x+2 a \) 의 극솟값이 \( a+3 \) 일 때, 함수 \( f(x) \) 의 극댓값은? (단, \( a \) 는 상수이다.) [3점]
(1) 11
(2) 12
(3) 13
(4) 14
(5) 15","7. 함수 \( f(x)=x^{3}-3 x+2 a \) 의 극솟값이 \( a+3 \) 일 때, 함수 \( f(x) \) 의 극댓값은? (단, \( a \) 는 상수이다.) [3점]","['7', '.', '함수', 'f', '(', 'x', ')', '=', 'x', '^', '{', '3', '}', '-', '3', 'x', '+', '2', 'a', '의', '극솟값', '이', 'a', '+', '3', '일', '때', ',', '함수', 'f', '(', 'x', ')', '의', '극댓값', '은', '?', '(', '단', ',', 'a', '는', '상수', '이', '다', '.', ')', '[', '3', '점', ']']",True,객관식,미분법
8,1,중하,3,0.84,0.84,0.05,0.04,0.04,0.02,기하,2024-07-11,학력평가,"8. 삼차함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
x f^{\prime}(x)=6 x^{3}-x+f(0)+1
\]

을 만족시킬 때, \( f(-1) \) 의 값은? [3점]
(1) -2
(2) -1
(3) 0
(4) 1
(5) 2","8. 삼차함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
x f^{\prime}(x)=6 x^{3}-x+f(0)+1
\]

을 만족시킬 때, \( f(-1) \) 의 값은? [3점]","['8', '.', '삼', '차', '함수', 'f', '(', 'x', ')', '가', '모든', '실수', 'x', '에', '대하', '여', '\\[', 'x', 'f', '^{\\', 'prime', '}(', 'x', ')', '=', '6', 'x', '^{', '3', '}-', 'x', '+', 'f', '(', '0', ')', '+', '1', '\\]', '을', '만족', '시킬', '때', ',', 'f', '(', '-', '1', ')', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,적분법
